<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AFLT;60;01/08/19;110000;107.1400000;109.7400000;106.3200000;108.3400000;1257980
AFLT;60;01/08/19;120000;108.3200000;108.5000000;108.1000000;108.2600000;217080
AFLT;60;01/08/19;130000;108.2600000;108.2600000;107.8800000;108.0400000;239750
AFLT;60;01/08/19;140000;108.0400000;108.2000000;107.9800000;108.1200000;88940
AFLT;60;01/08/19;150000;108.1200000;108.1800000;107.7000000;108.0000000;197650
AFLT;60;01/08/19;160000;107.9600000;108.1800000;107.8600000;108.0600000;237770
AFLT;60;01/08/19;170000;108.1200000;108.2600000;107.4400000;108.1800000;992710
AFLT;60;01/08/19;180000;108.1800000;108.2600000;107.7600000;107.9600000;171460
AFLT;60;01/08/19;190000;107.9600000;108.1000000;107.7000000;107.7000000;321090
AFLT;60;02/08/19;110000;105.5800000;106.8600000;104.5000000;106.0800000;1564550
AFLT;60;02/08/19;120000;106.0200000;106.2800000;105.7800000;106.0000000;416850
AFLT;60;02/08/19;130000;106.0200000;106.5000000;106.0200000;106.3800000;178410
AFLT;60;02/08/19;140000;106.3800000;107.0000000;106.0800000;106.7800000;626260
AFLT;60;02/08/19;150000;106.8000000;107.2600000;106.6000000;107.1200000;203340
AFLT;60;02/08/19;160000;107.1200000;107.2600000;106.2200000;106.7200000;487060
AFLT;60;02/08/19;170000;106.7200000;107.0000000;106.2800000;106.7800000;241610
AFLT;60;02/08/19;180000;106.8000000;107.1000000;106.6200000;106.9600000;564480
AFLT;60;02/08/19;190000;106.9000000;107.1000000;106.5200000;106.6200000;525730
AFLT;60;05/08/19;110000;106.2800000;106.8200000;104.8400000;105.1800000;786670
AFLT;60;05/08/19;120000;105.1800000;105.9800000;105.1200000;105.7800000;208920
AFLT;60;05/08/19;130000;105.8400000;106.5000000;105.6600000;106.3800000;171930
AFLT;60;05/08/19;140000;106.3800000;106.5000000;106.0200000;106.1600000;108590
AFLT;60;05/08/19;150000;106.1600000;106.1600000;105.4800000;105.6200000;144820
AFLT;60;05/08/19;160000;105.6200000;105.7000000;105.1400000;105.1400000;191550
AFLT;60;05/08/19;170000;105.1400000;105.1400000;103.6000000;103.8600000;859110
AFLT;60;05/08/19;180000;103.7600000;103.8800000;102.6000000;103.1600000;1804250
AFLT;60;05/08/19;190000;103.1400000;103.7000000;103.1400000;103.5000000;610930
AFLT;60;06/08/19;110000;103.3600000;105.1400000;103.2000000;104.6400000;495430
AFLT;60;06/08/19;120000;104.6400000;104.9000000;104.5000000;104.5400000;149930
AFLT;60;06/08/19;130000;104.5200000;104.9200000;104.4000000;104.9200000;291330
AFLT;60;06/08/19;140000;104.8400000;105.9000000;104.8400000;105.7800000;555700
AFLT;60;06/08/19;150000;105.7800000;106.0000000;105.3400000;105.7200000;450140
AFLT;60;06/08/19;160000;105.8000000;106.0000000;105.5600000;105.8200000;249570
AFLT;60;06/08/19;170000;105.8200000;106.0000000;105.6200000;105.9400000;279420
AFLT;60;06/08/19;180000;105.9800000;106.0000000;105.5200000;105.5200000;700970
AFLT;60;06/08/19;190000;105.5800000;105.5800000;104.6200000;104.7000000;547960
AFLT;60;07/08/19;110000;104.7000000;105.3200000;103.6000000;104.1800000;754260
AFLT;60;07/08/19;120000;104.1800000;104.6000000;104.0000000;104.0800000;274650
AFLT;60;07/08/19;130000;104.0800000;104.8400000;103.9400000;104.7600000;640110
AFLT;60;07/08/19;140000;104.7000000;104.9800000;104.5400000;104.5400000;302630
AFLT;60;07/08/19;150000;104.6200000;104.7000000;104.5400000;104.5400000;141510
AFLT;60;07/08/19;160000;104.5400000;104.6800000;104.1400000;104.1400000;392730
AFLT;60;07/08/19;170000;104.1600000;104.4200000;103.9200000;104.1000000;279140
AFLT;60;07/08/19;180000;104.0600000;105.3000000;104.0400000;105.0000000;703420
AFLT;60;07/08/19;190000;105.0000000;105.8200000;104.9200000;105.2800000;789100
AFLT;60;08/08/19;110000;105.3600000;106.2000000;105.2000000;105.2400000;558070
AFLT;60;08/08/19;120000;105.2400000;106.8400000;105.1200000;106.8000000;627820
AFLT;60;08/08/19;130000;106.7800000;106.8800000;106.1600000;106.5000000;323110
AFLT;60;08/08/19;140000;106.5000000;106.6000000;106.0400000;106.2400000;152810
AFLT;60;08/08/19;150000;106.2600000;106.5000000;106.2200000;106.4600000;178700
AFLT;60;08/08/19;160000;106.4600000;106.5600000;106.2400000;106.4600000;214090
AFLT;60;08/08/19;170000;106.5200000;107.7400000;106.5200000;107.5800000;1071830
AFLT;60;08/08/19;180000;107.5800000;109.0800000;107.4000000;108.9200000;1922910
AFLT;60;08/08/19;190000;108.8800000;108.9400000;108.5800000;108.8800000;1170060
AFLT;60;09/08/19;110000;109.2800000;109.5800000;108.0600000;109.0200000;1166540
AFLT;60;09/08/19;120000;109.0000000;109.4000000;108.7600000;108.9200000;617270
AFLT;60;09/08/19;130000;108.8400000;109.1800000;108.4800000;108.5400000;285190
AFLT;60;09/08/19;140000;108.4800000;108.7600000;107.8400000;108.1200000;288500
AFLT;60;09/08/19;150000;108.2000000;108.2800000;107.6000000;107.6800000;293890
AFLT;60;09/08/19;160000;107.6800000;110.3600000;107.4000000;109.9600000;2275040
AFLT;60;09/08/19;170000;110.0000000;110.0000000;108.7200000;108.9400000;804000
AFLT;60;09/08/19;180000;108.9800000;109.7000000;108.2200000;109.6400000;529900
AFLT;60;09/08/19;190000;109.5800000;109.6000000;108.5200000;108.8000000;416090
AFLT;60;12/08/19;110000;109.1400000;110.0000000;109.1400000;109.9000000;1058720
AFLT;60;12/08/19;120000;109.9400000;111.0000000;109.8600000;110.7000000;1209870
AFLT;60;12/08/19;130000;110.7000000;111.0000000;110.5000000;110.6000000;417130
AFLT;60;12/08/19;140000;110.6400000;110.8600000;110.1400000;110.4000000;290220
AFLT;60;12/08/19;150000;110.3600000;110.5800000;110.0200000;110.3600000;354550
AFLT;60;12/08/19;160000;110.3600000;110.5400000;110.0000000;110.5000000;362570
AFLT;60;12/08/19;170000;110.5200000;110.5800000;110.2800000;110.3200000;107890
AFLT;60;12/08/19;180000;110.3000000;110.3200000;109.7000000;110.0000000;416480
AFLT;60;12/08/19;190000;110.0000000;110.8000000;109.9200000;110.5000000;812210
AFLT;60;13/08/19;110000;110.3000000;111.9600000;110.2800000;111.7000000;1654730
AFLT;60;13/08/19;120000;111.7000000;111.7600000;111.0400000;111.2400000;459000
AFLT;60;13/08/19;130000;111.2200000;111.8000000;110.7000000;111.6400000;1204430
AFLT;60;13/08/19;140000;111.6000000;111.7800000;111.3200000;111.4000000;275710
AFLT;60;13/08/19;150000;111.4600000;111.6400000;111.1000000;111.4400000;330730
AFLT;60;13/08/19;160000;111.4400000;111.4800000;111.2200000;111.3400000;158200
AFLT;60;13/08/19;170000;111.3200000;111.7200000;111.2000000;111.3800000;713470
AFLT;60;13/08/19;180000;111.3800000;111.5600000;110.4000000;110.5400000;817610
AFLT;60;13/08/19;190000;110.6000000;110.9800000;110.0800000;110.3600000;771270
AFLT;60;14/08/19;110000;110.6000000;111.3600000;110.1800000;110.7600000;439500
AFLT;60;14/08/19;120000;110.7400000;110.8600000;110.4400000;110.5400000;247510
AFLT;60;14/08/19;130000;110.5400000;110.7000000;110.5000000;110.6600000;203540
AFLT;60;14/08/19;140000;110.6200000;110.7600000;110.4400000;110.5200000;343850
AFLT;60;14/08/19;150000;110.5200000;110.8000000;110.3600000;110.5200000;641020
AFLT;60;14/08/19;160000;110.5200000;110.9800000;110.3800000;110.9600000;523990
AFLT;60;14/08/19;170000;110.9600000;111.1000000;110.6200000;110.9400000;489870
AFLT;60;14/08/19;180000;110.9000000;111.0000000;110.3400000;110.8800000;775100
AFLT;60;14/08/19;190000;110.7800000;110.9600000;110.5800000;110.8600000;1039680
AFLT;60;15/08/19;110000;110.9800000;112.1600000;110.5000000;111.9400000;1022120
AFLT;60;15/08/19;120000;111.9400000;112.1000000;111.6400000;111.7200000;367260
AFLT;60;15/08/19;130000;111.6800000;111.6800000;110.8800000;111.4000000;541210
AFLT;60;15/08/19;140000;111.3800000;111.4000000;110.8600000;111.2800000;389620
AFLT;60;15/08/19;150000;111.2000000;111.6800000;111.0400000;111.6600000;535510
AFLT;60;15/08/19;160000;111.6600000;112.1200000;111.6600000;112.0200000;803480
AFLT;60;15/08/19;170000;112.0200000;112.4200000;111.8600000;112.2200000;1076790
AFLT;60;15/08/19;180000;112.1800000;112.2200000;111.9400000;112.0000000;635870
AFLT;60;15/08/19;190000;112.0000000;112.3000000;111.9000000;112.3000000;675530
AFLT;60;16/08/19;110000;112.3000000;112.4800000;111.6600000;111.9200000;355220
AFLT;60;16/08/19;120000;111.9200000;111.9600000;110.7000000;111.1200000;687750
AFLT;60;16/08/19;130000;111.1800000;111.1800000;108.8000000;110.2800000;1950300
AFLT;60;16/08/19;140000;110.2000000;110.9600000;109.6600000;110.6000000;764660
AFLT;60;16/08/19;150000;110.6000000;110.8400000;109.8000000;110.5000000;376930
AFLT;60;16/08/19;160000;110.5400000;110.6000000;109.9800000;110.1400000;166910
AFLT;60;16/08/19;170000;110.0800000;110.3200000;109.9400000;110.2000000;299690
AFLT;60;16/08/19;180000;110.2400000;110.7400000;110.2400000;110.6400000;228670
AFLT;60;16/08/19;190000;110.6400000;110.7400000;110.2600000;110.4000000;412370
AFLT;60;19/08/19;110000;110.9800000;111.2600000;109.1800000;110.2600000;495730
AFLT;60;19/08/19;120000;110.2600000;110.5600000;109.5400000;109.7400000;436830
