<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;01/09/17;110000;118.0200000;118.2600000;117.0600000;117.1900000;8463720
GAZP;60;01/09/17;120000;117.1600000;117.5800000;117.1000000;117.3300000;2193640
GAZP;60;01/09/17;130000;117.3100000;117.4600000;117.0700000;117.3300000;1345360
GAZP;60;01/09/17;140000;117.3500000;117.6700000;117.3000000;117.5300000;851870
GAZP;60;01/09/17;150000;117.5500000;117.8900000;117.4700000;117.4800000;1245460
GAZP;60;01/09/17;160000;117.5000000;117.5400000;117.0600000;117.2000000;1953330
GAZP;60;01/09/17;170000;117.2100000;117.3600000;117.0400000;117.2200000;3076810
GAZP;60;01/09/17;180000;117.2300000;117.4100000;117.1400000;117.3500000;1947950
GAZP;60;01/09/17;190000;117.3500000;117.5300000;117.1000000;117.4000000;1612440
GAZP;60;04/09/17;110000;117.0300000;117.2500000;116.5600000;116.8800000;3880540
GAZP;60;04/09/17;120000;116.8800000;117.4200000;116.8100000;117.1800000;1289090
GAZP;60;04/09/17;130000;117.2000000;117.5300000;117.0000000;117.0600000;1755440
GAZP;60;04/09/17;140000;117.0800000;117.3000000;116.9700000;117.0500000;496990
GAZP;60;04/09/17;150000;117.0500000;117.2300000;116.7600000;116.8100000;1275270
GAZP;60;04/09/17;160000;116.7900000;117.3300000;116.6700000;117.2500000;1643750
GAZP;60;04/09/17;170000;117.2500000;117.6500000;117.2500000;117.3500000;2349570
GAZP;60;04/09/17;180000;117.3700000;117.6500000;117.0500000;117.1700000;1790040
GAZP;60;04/09/17;190000;117.1700000;117.3000000;117.0000000;117.0000000;1457810
GAZP;60;05/09/17;110000;117.5500000;117.8900000;117.1800000;117.3800000;3441950
GAZP;60;05/09/17;120000;117.3900000;117.4200000;116.7500000;116.9400000;2409310
GAZP;60;05/09/17;130000;116.9300000;117.1700000;116.8900000;116.9600000;1389320
GAZP;60;05/09/17;140000;116.9600000;117.0500000;116.6100000;116.7500000;2099080
GAZP;60;05/09/17;150000;116.7500000;117.0500000;116.6100000;116.6500000;1453210
GAZP;60;05/09/17;160000;116.6400000;116.7000000;116.0600000;116.2800000;5254980
GAZP;60;05/09/17;170000;116.2600000;116.4800000;115.9000000;116.1400000;3594460
GAZP;60;05/09/17;180000;116.1200000;116.4400000;116.0200000;116.2600000;2632930
GAZP;60;05/09/17;190000;116.2600000;116.7000000;116.0000000;116.0000000;4265780
GAZP;60;06/09/17;110000;116.0000000;116.7400000;115.6600000;116.6200000;4615120
GAZP;60;06/09/17;120000;116.6000000;116.7000000;116.4100000;116.4400000;2131710
GAZP;60;06/09/17;130000;116.4500000;116.5900000;116.3900000;116.3900000;1062280
GAZP;60;06/09/17;140000;116.4000000;116.5000000;116.3300000;116.4000000;1024720
GAZP;60;06/09/17;150000;116.4400000;116.6800000;116.3500000;116.4200000;1714480
GAZP;60;06/09/17;160000;116.4300000;116.6400000;116.3700000;116.3900000;1925300
GAZP;60;06/09/17;170000;116.3800000;116.9000000;116.3800000;116.8800000;2171490
GAZP;60;06/09/17;180000;116.8800000;117.3800000;116.8000000;117.3000000;4993180
GAZP;60;06/09/17;190000;117.2900000;117.5800000;117.1400000;117.1400000;4748830
GAZP;60;07/09/17;110000;117.6100000;118.0900000;117.4900000;117.8400000;4883370
GAZP;60;07/09/17;120000;117.8400000;118.0300000;117.3800000;117.7200000;4859600
GAZP;60;07/09/17;130000;117.7200000;117.9900000;117.7000000;117.8400000;1454900
GAZP;60;07/09/17;140000;117.8200000;117.9100000;117.5100000;117.8300000;2830540
GAZP;60;07/09/17;150000;117.8200000;118.6300000;117.7900000;118.5200000;6672040
GAZP;60;07/09/17;160000;118.5300000;118.9500000;118.2700000;118.8100000;5567490
GAZP;60;07/09/17;170000;118.8300000;119.0300000;118.5400000;118.9300000;4056410
GAZP;60;07/09/17;180000;118.9300000;118.9700000;118.5700000;118.6800000;1982570
GAZP;60;07/09/17;190000;118.6500000;118.7000000;117.9500000;117.9500000;4752430
GAZP;60;08/09/17;110000;118.2000000;119.5300000;118.1600000;119.2100000;7523110
GAZP;60;08/09/17;120000;119.2200000;119.5300000;119.1500000;119.5000000;3850970
GAZP;60;08/09/17;130000;119.5000000;120.3500000;119.4400000;119.9700000;8958240
GAZP;60;08/09/17;140000;119.9500000;119.9800000;119.6700000;119.7700000;2209900
GAZP;60;08/09/17;150000;119.7700000;120.1700000;119.5600000;120.1400000;4120130
GAZP;60;08/09/17;160000;120.1300000;120.3200000;119.7000000;120.1300000;3212170
GAZP;60;08/09/17;170000;120.1300000;120.4500000;120.0000000;120.3200000;4206870
GAZP;60;08/09/17;180000;120.3300000;120.3800000;119.7300000;120.2100000;4447420
GAZP;60;08/09/17;190000;120.2100000;120.3500000;120.0200000;120.3400000;3296540
GAZP;60;11/09/17;110000;120.8100000;121.5000000;120.0000000;120.0600000;9707720
GAZP;60;11/09/17;120000;120.0800000;120.2300000;119.6300000;120.0300000;3924540
GAZP;60;11/09/17;130000;120.0300000;120.7000000;120.0100000;120.4800000;3282220
GAZP;60;11/09/17;140000;120.4800000;120.8400000;120.3400000;120.7000000;2189850
GAZP;60;11/09/17;150000;120.7000000;121.3300000;120.6500000;121.2800000;2543020
GAZP;60;11/09/17;160000;121.2800000;121.9400000;121.2000000;121.6700000;5802960
GAZP;60;11/09/17;170000;121.6500000;121.6800000;121.0300000;121.1300000;2729730
GAZP;60;11/09/17;180000;121.1100000;121.1300000;120.4100000;120.5900000;5386470
GAZP;60;11/09/17;190000;120.5900000;121.1300000;120.2100000;121.0000000;4663780
GAZP;60;12/09/17;110000;121.2200000;121.2600000;120.1600000;120.8800000;5397610
GAZP;60;12/09/17;120000;120.9000000;121.5800000;120.6900000;121.5300000;5276410
GAZP;60;12/09/17;130000;121.5200000;121.7300000;121.2700000;121.2900000;3107930
GAZP;60;12/09/17;140000;121.2800000;121.5800000;120.9200000;121.2900000;1932530
GAZP;60;12/09/17;150000;121.2900000;121.5400000;121.1000000;121.5300000;1303630
