<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;60;31/03/17;110000;2983.5000000;2994.0000000;2969.0000000;2981.0000000;66164
LKOH;60;31/03/17;120000;2981.5000000;2995.5000000;2975.5000000;2987.5000000;28902
LKOH;60;31/03/17;130000;2986.5000000;3002.0000000;2978.0000000;2999.0000000;31073
LKOH;60;31/03/17;140000;2999.0000000;3002.0000000;2986.5000000;2993.0000000;20597
LKOH;60;31/03/17;150000;2993.5000000;3000.5000000;2986.0000000;2994.0000000;22992
LKOH;60;31/03/17;160000;2993.0000000;2997.0000000;2983.5000000;2988.0000000;15857
LKOH;60;31/03/17;170000;2988.0000000;3000.5000000;2986.0000000;3000.0000000;33030
LKOH;60;31/03/17;180000;2999.5000000;3003.5000000;2971.5000000;2986.5000000;172851
LKOH;60;31/03/17;190000;2986.0000000;2996.5000000;2981.0000000;2981.0000000;140450
LKOH;60;03/04/17;110000;2990.0000000;3015.0000000;2979.5000000;3001.0000000;106835
LKOH;60;03/04/17;120000;3001.0000000;3016.0000000;2999.5000000;3010.0000000;31783
LKOH;60;03/04/17;130000;3010.0000000;3023.0000000;3010.0000000;3020.5000000;25472
LKOH;60;03/04/17;140000;3020.5000000;3027.0000000;3016.0000000;3024.5000000;28042
LKOH;60;03/04/17;150000;3024.5000000;3026.5000000;3019.5000000;3024.5000000;12041
LKOH;60;03/04/17;160000;3024.0000000;3024.0000000;3009.0000000;3017.5000000;19372
LKOH;60;03/04/17;170000;3018.5000000;3023.5000000;3008.0000000;3018.5000000;40333
LKOH;60;03/04/17;180000;3019.5000000;3025.0000000;3013.0000000;3016.0000000;52778
LKOH;60;03/04/17;190000;3017.0000000;3027.0000000;3005.5000000;3026.5000000;39483
LKOH;60;04/04/17;110000;3014.0000000;3042.0000000;3014.0000000;3038.0000000;50675
LKOH;60;04/04/17;120000;3039.0000000;3049.0000000;3029.5000000;3034.5000000;48277
LKOH;60;04/04/17;130000;3034.5000000;3048.0000000;3031.5000000;3039.0000000;42424
LKOH;60;04/04/17;140000;3036.5000000;3055.0000000;3033.0000000;3050.5000000;59617
LKOH;60;04/04/17;150000;3051.5000000;3063.0000000;3051.0000000;3058.0000000;47042
LKOH;60;04/04/17;160000;3058.0000000;3059.5000000;3038.5000000;3048.5000000;41959
LKOH;60;04/04/17;170000;3048.5000000;3052.0000000;3032.5000000;3035.5000000;27684
LKOH;60;04/04/17;180000;3035.5000000;3051.0000000;3030.0000000;3047.5000000;87755
LKOH;60;04/04/17;190000;3048.0000000;3057.0000000;3045.0000000;3050.0000000;50097
LKOH;60;05/04/17;110000;3058.5000000;3063.5000000;3043.5000000;3057.0000000;92873
LKOH;60;05/04/17;120000;3057.0000000;3059.5000000;3051.0000000;3056.5000000;38635
LKOH;60;05/04/17;130000;3056.5000000;3060.0000000;3051.0000000;3056.0000000;40068
LKOH;60;05/04/17;140000;3053.5000000;3059.0000000;3052.5000000;3053.0000000;23301
LKOH;60;05/04/17;150000;3053.0000000;3062.0000000;3053.0000000;3053.5000000;67980
LKOH;60;05/04/17;160000;3053.5000000;3058.0000000;3044.0000000;3052.0000000;49223
LKOH;60;05/04/17;170000;3052.0000000;3060.0000000;3050.0000000;3055.5000000;30347
LKOH;60;05/04/17;180000;3056.0000000;3059.5000000;3042.5000000;3043.5000000;67642
LKOH;60;05/04/17;190000;3043.5000000;3057.0000000;3030.0000000;3057.0000000;127814
LKOH;60;06/04/17;110000;3045.5000000;3050.5000000;3026.0000000;3043.5000000;78644
LKOH;60;06/04/17;120000;3043.5000000;3063.0000000;3043.5000000;3060.5000000;63964
LKOH;60;06/04/17;130000;3060.5000000;3063.0000000;3052.0000000;3052.0000000;32080
LKOH;60;06/04/17;140000;3052.5000000;3065.0000000;3050.0000000;3060.0000000;44623
LKOH;60;06/04/17;150000;3060.0000000;3062.5000000;3049.0000000;3053.5000000;34938
LKOH;60;06/04/17;160000;3053.0000000;3058.5000000;3045.5000000;3056.0000000;39874
