<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NVTK;60;10/12/18;110000;1116.5000000;1117.0000000;1110.1000000;1112.9000000;66100
NVTK;60;10/12/18;120000;1112.7000000;1118.0000000;1100.1000000;1104.3000000;149520
NVTK;60;10/12/18;130000;1104.2000000;1104.7000000;1095.3000000;1099.7000000;77940
NVTK;60;10/12/18;140000;1100.3000000;1101.9000000;1096.0000000;1099.2000000;61130
NVTK;60;10/12/18;150000;1098.6000000;1108.0000000;1098.6000000;1107.1000000;46910
NVTK;60;10/12/18;160000;1107.1000000;1108.9000000;1105.5000000;1106.1000000;17400
NVTK;60;10/12/18;170000;1105.7000000;1106.5000000;1099.3000000;1104.0000000;37010
NVTK;60;10/12/18;180000;1104.0000000;1104.7000000;1098.0000000;1101.7000000;91660
NVTK;60;10/12/18;190000;1101.7000000;1104.8000000;1100.2000000;1104.0000000;38010
NVTK;60;11/12/18;110000;1102.0000000;1105.8000000;1094.1000000;1098.0000000;94700
NVTK;60;11/12/18;120000;1097.2000000;1099.1000000;1087.6000000;1093.3000000;106040
NVTK;60;11/12/18;130000;1093.3000000;1100.4000000;1093.3000000;1100.0000000;44070
NVTK;60;11/12/18;140000;1099.7000000;1111.9000000;1098.0000000;1110.5000000;108600
NVTK;60;11/12/18;150000;1110.5000000;1113.4000000;1107.8000000;1109.3000000;83480
NVTK;60;11/12/18;160000;1110.0000000;1110.8000000;1098.0000000;1102.4000000;120140
NVTK;60;11/12/18;170000;1102.1000000;1104.9000000;1094.6000000;1097.7000000;93570
NVTK;60;11/12/18;180000;1097.2000000;1102.9000000;1092.4000000;1102.6000000;62260
NVTK;60;11/12/18;190000;1102.9000000;1105.8000000;1100.6000000;1100.6000000;86810
NVTK;60;12/12/18;110000;1097.0000000;1106.0000000;1092.1000000;1097.3000000;69580
NVTK;60;12/12/18;120000;1097.2000000;1106.3000000;1096.0000000;1101.4000000;72810
NVTK;60;12/12/18;130000;1101.4000000;1116.1000000;1100.2000000;1115.8000000;94740
NVTK;60;12/12/18;140000;1114.7000000;1122.6000000;1113.5000000;1121.1000000;105900
NVTK;60;12/12/18;150000;1120.3000000;1120.5000000;1107.1000000;1109.0000000;55610
NVTK;60;12/12/18;160000;1109.5000000;1110.8000000;1106.2000000;1108.9000000;48350
NVTK;60;12/12/18;170000;1109.0000000;1110.2000000;1101.7000000;1103.2000000;72440
