<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;01/08/19;110000;232.1500000;232.4600000;230.5000000;230.6400000;12.583.600
SBER;60;01/08/19;120000;230.6700000;231.3300000;229.5000000;230.5000000;11.670.670
SBER;60;01/08/19;130000;230.4700000;231.3700000;230.0500000;230.1500000;3.604.380
SBER;60;01/08/19;140000;230.1500000;230.3000000;229.5800000;229.6100000;4.728.960
SBER;60;01/08/19;150000;229.6200000;230.0300000;228.5600000;228.8600000;8.466.180
SBER;60;01/08/19;160000;228.8100000;229.4000000;228.5000000;229.2800000;3.583.640
SBER;60;01/08/19;170000;229.3100000;229.6000000;228.6100000;228.8200000;3.138.090
SBER;60;01/08/19;180000;228.7600000;230.2000000;228.7500000;229.2900000;4.533.610
SBER;60;01/08/19;190000;229.2600000;229.5000000;228.7000000;229.5000000;3.723.560
SBER;60;02/08/19;110000;224.9100000;225.0000000;222.1000000;223.8700000;18.668.480
SBER;60;02/08/19;120000;223.8700000;224.7600000;223.1100000;224.2500000;6.741.660
SBER;60;02/08/19;130000;224.2500000;225.2500000;223.8600000;224.8000000;4.834.900
SBER;60;02/08/19;140000;224.8000000;226.7000000;224.5400000;226.3500000;7.260.590
SBER;60;02/08/19;150000;226.3500000;226.8800000;225.3200000;225.9500000;5.182.790
SBER;60;02/08/19;160000;226.0100000;226.1000000;223.1100000;225.0300000;13.402.290
SBER;60;02/08/19;170000;225.1400000;225.4700000;224.3500000;224.4500000;7.045.680
SBER;60;02/08/19;180000;224.4500000;224.4600000;221.8000000;221.8100000;11.981.280
SBER;60;02/08/19;190000;221.8100000;222.1900000;220.3000000;220.8100000;18.892.880
SBER;60;05/08/19;110000;219.7800000;223.3300000;219.4500000;222.5700000;12.578.960
SBER;60;05/08/19;120000;222.5300000;223.9900000;222.0000000;223.6900000;6.182.290
SBER;60;05/08/19;130000;223.6800000;224.0000000;222.8100000;223.6900000;4.778.180
SBER;60;05/08/19;140000;223.6600000;223.9600000;222.9400000;223.8000000;2.014.350
SBER;60;05/08/19;150000;223.7900000;223.9000000;222.9900000;223.2800000;2.227.270
SBER;60;05/08/19;160000;223.3100000;223.6300000;221.8000000;221.9600000;3.509.850
SBER;60;05/08/19;170000;221.9500000;222.9000000;221.5900000;222.3800000;5.193.520
SBER;60;05/08/19;180000;222.3800000;222.7800000;221.2500000;221.9400000;5.241.490
SBER;60;05/08/19;190000;222.0000000;223.2300000;221.5300000;222.2400000;7.315.700
SBER;60;06/08/19;110000;222.7700000;225.5500000;222.3000000;224.2800000;12.086.730
SBER;60;06/08/19;120000;224.2500000;225.4200000;224.2000000;225.2600000;6.960.700
SBER;60;06/08/19;130000;225.2800000;225.9500000;224.8500000;225.7900000;4.936.350
SBER;60;06/08/19;140000;225.7800000;225.8400000;224.5000000;224.6000000;3.752.540
SBER;60;06/08/19;150000;224.5800000;225.4400000;224.2800000;225.1900000;2.871.100
SBER;60;06/08/19;160000;225.2000000;225.3500000;224.7000000;225.2200000;1.633.090
SBER;60;06/08/19;170000;225.2300000;226.4000000;224.9500000;226.2500000;4.298.940
SBER;60;06/08/19;180000;226.2500000;226.8800000;226.0000000;226.3000000;5.751.950
SBER;60;06/08/19;190000;226.3000000;226.6000000;225.7000000;226.0100000;6.429.330
SBER;60;07/08/19;110000;225.8900000;227.6000000;224.8000000;225.4600000;12.251.400
SBER;60;07/08/19;120000;225.4600000;226.1300000;224.8700000;225.3100000;4.526.670
SBER;60;07/08/19;130000;225.3200000;225.8000000;224.6300000;225.7300000;3.328.110
SBER;60;07/08/19;140000;225.7700000;226.4500000;225.2100000;225.4000000;2.487.910
SBER;60;07/08/19;150000;225.4500000;225.7500000;224.9000000;225.0200000;2.329.260
SBER;60;07/08/19;160000;225.0200000;225.0500000;222.8100000;222.8400000;6.458.290
SBER;60;07/08/19;170000;222.8100000;223.2500000;221.9000000;222.5000000;8.231.770
SBER;60;07/08/19;180000;222.5100000;224.0000000;222.5000000;223.4300000;5.247.880
SBER;60;07/08/19;190000;223.4000000;223.5000000;222.2500000;222.2500000;4.668.960
SBER;60;08/08/19;110000;224.6000000;225.9000000;224.6000000;224.9300000;6.872.770
SBER;60;08/08/19;120000;224.9300000;225.3200000;224.5100000;224.8000000;3.241.840
SBER;60;08/08/19;130000;224.8000000;224.9700000;223.6000000;223.8200000;4.135.600
SBER;60;08/08/19;140000;223.8400000;223.9000000;223.1800000;223.5000000;2.651.460
SBER;60;08/08/19;150000;223.4200000;224.9300000;223.4000000;224.7600000;2.687.500
SBER;60;08/08/19;160000;224.7800000;224.9500000;224.0500000;224.8200000;1.346.090
SBER;60;08/08/19;170000;224.8200000;225.3800000;224.6500000;224.9000000;3.422.070
SBER;60;08/08/19;180000;224.9000000;225.0300000;224.0600000;224.1400000;2.114.930
SBER;60;08/08/19;190000;224.1500000;224.4500000;223.5100000;223.9300000;4.671.750
SBER;60;09/08/19;110000;224.0600000;224.3600000;222.6200000;222.8900000;4.223.330
SBER;60;09/08/19;120000;222.9200000;223.9500000;222.8500000;223.6800000;1.624.210
SBER;60;09/08/19;130000;223.7100000;223.8300000;222.2200000;222.4000000;2.967.850
SBER;60;09/08/19;140000;222.3700000;222.9500000;222.2500000;222.4900000;1.967.060
SBER;60;09/08/19;150000;222.5100000;222.5500000;221.6700000;221.8700000;2.576.180
SBER;60;09/08/19;160000;221.8700000;222.5800000;221.7700000;222.2600000;1.740.540
SBER;60;09/08/19;170000;222.2500000;223.9000000;222.2000000;222.8900000;5.059.900
SBER;60;09/08/19;180000;222.9200000;223.1100000;221.8500000;222.4100000;3.593.650
SBER;60;09/08/19;190000;222.4100000;222.5800000;220.6700000;220.6700000;7.726.170
SBER;60;12/08/19;110000;222.3800000;222.9900000;221.5100000;221.9700000;5.843.570
SBER;60;12/08/19;120000;221.9700000;221.9700000;220.7700000;221.0400000;3.864.460
SBER;60;12/08/19;130000;220.9900000;221.5000000;220.5700000;220.6800000;2.139.420
SBER;60;12/08/19;140000;220.6100000;220.9800000;219.7400000;220.2000000;4.401.930
SBER;60;12/08/19;150000;220.2000000;221.4200000;220.2000000;221.2000000;2.738.690
SBER;60;12/08/19;160000;221.1600000;221.9300000;221.1000000;221.6800000;2.247.890
SBER;60;12/08/19;170000;221.7100000;221.9500000;221.0400000;221.1900000;1.897.080
SBER;60;12/08/19;180000;221.1900000;222.7400000;220.4500000;222.5600000;3.713.940
SBER;60;12/08/19;190000;222.5600000;222.6000000;221.6100000;222.3000000;1.848.780
SBER;60;13/08/19;110000;221.3100000;221.8900000;220.7000000;220.8500000;4.049.600
SBER;60;13/08/19;120000;220.8800000;222.0000000;220.7800000;221.7900000;2.031.020
SBER;60;13/08/19;130000;221.7500000;221.8700000;220.2000000;220.4200000;3.058.630
SBER;60;13/08/19;140000;220.4200000;220.9700000;220.0700000;220.4900000;1.791.350
SBER;60;13/08/19;150000;220.4900000;221.1800000;220.3900000;220.8200000;1.281.890
SBER;60;13/08/19;160000;220.8300000;220.8800000;220.3500000;220.5300000;1.110.830
SBER;60;13/08/19;170000;220.5300000;225.7500000;220.4700000;225.3100000;15.544.150
SBER;60;13/08/19;180000;225.3200000;225.5000000;224.5200000;224.5900000;10.756.840
SBER;60;13/08/19;190000;224.5400000;224.6000000;222.8800000;223.1800000;7.081.730
SBER;60;14/08/19;110000;224.1000000;224.2500000;222.5200000;222.6600000;5.452.560
SBER;60;14/08/19;120000;222.6600000;222.9000000;221.9200000;222.5600000;4.042.250
SBER;60;14/08/19;130000;222.5500000;222.6000000;222.0000000;222.3300000;1.761.070
SBER;60;14/08/19;140000;222.3600000;222.3800000;221.0300000;221.0700000;4.283.630
SBER;60;14/08/19;150000;221.1000000;221.2800000;220.1300000;220.1700000;4.503.860
SBER;60;14/08/19;160000;220.1500000;220.1500000;218.3500000;218.7800000;11.624.610
SBER;60;14/08/19;170000;218.8200000;219.2800000;217.5300000;218.3600000;7.144.310
SBER;60;14/08/19;180000;218.3700000;218.9000000;217.6000000;217.6300000;5.340.650
SBER;60;14/08/19;190000;217.6300000;217.7800000;216.6000000;217.1100000;7.851.190
SBER;60;15/08/19;110000;218.5000000;218.9400000;215.3700000;216.0100000;10.964.320
SBER;60;15/08/19;120000;215.9900000;217.8800000;215.5400000;216.7600000;5.937.930
SBER;60;15/08/19;130000;216.7600000;217.0200000;214.1200000;214.6700000;10.168.840
SBER;60;15/08/19;140000;214.6600000;214.8600000;212.8800000;214.2900000;10.305.980
SBER;60;15/08/19;150000;214.2900000;215.4300000;213.8500000;214.9200000;7.054.020
SBER;60;15/08/19;160000;214.9600000;216.6000000;214.8800000;215.9200000;8.243.490
SBER;60;15/08/19;170000;215.9200000;216.0800000;213.8700000;215.3800000;6.639.690
SBER;60;15/08/19;180000;215.3300000;215.5200000;214.1000000;214.2200000;4.327.080
SBER;60;15/08/19;190000;214.2600000;215.3000000;214.1500000;214.5900000;4.523.860
SBER;60;16/08/19;110000;215.8000000;216.7500000;215.1000000;215.9000000;6.376.740
SBER;60;16/08/19;120000;215.8500000;216.3300000;215.4000000;215.7300000;2.471.120
SBER;60;16/08/19;130000;215.7800000;216.4700000;215.1100000;215.2000000;3.093.620
SBER;60;16/08/19;140000;215.2100000;215.7700000;215.1000000;215.5400000;2.071.980
SBER;60;16/08/19;150000;215.5900000;215.8500000;213.9100000;214.0400000;4.093.350
SBER;60;16/08/19;160000;214.0400000;215.0300000;214.0100000;214.5500000;1.890.870
SBER;60;16/08/19;170000;214.5400000;215.4700000;213.9100000;214.7700000;2.685.510
SBER;60;16/08/19;180000;214.6900000;216.3000000;214.3100000;215.4100000;7.985.570
SBER;60;16/08/19;190000;215.3400000;216.1900000;215.0000000;215.0500000;7.685.010
SBER;60;19/08/19;110000;217.0400000;218.2000000;215.9100000;216.2600000;8.257.560
SBER;60;19/08/19;120000;216.1900000;216.7100000;214.0600000;214.6000000;5.359.540
SBER;60;19/08/19;130000;214.6000000;215.5000000;214.4000000;214.9100000;2.645.830
SBER;60;19/08/19;140000;214.9500000;215.9600000;214.8800000;215.8100000;2.124.230
SBER;60;19/08/19;150000;215.8100000;216.9800000;215.0300000;216.2300000;3.147.700
SBER;60;19/08/19;160000;216.2300000;216.2600000;215.5600000;216.1400000;2.480.060
SBER;60;19/08/19;170000;216.1400000;216.8000000;215.8800000;216.5600000;2.587.810
SBER;60;19/08/19;180000;216.5600000;216.6100000;215.6200000;216.0100000;2.733.190
SBER;60;19/08/19;190000;216.0100000;217.9100000;216.0100000;217.4000000;8.185.980
SBER;60;20/08/19;110000;217.6300000;219.2300000;216.8000000;218.3700000;8.783.300
SBER;60;20/08/19;120000;218.3700000;218.6900000;217.5000000;218.2000000;2.525.710
SBER;60;20/08/19;130000;218.2000000;218.2100000;216.5700000;216.8500000;3.658.250
SBER;60;20/08/19;140000;216.8500000;217.4900000;216.6000000;217.2800000;2.847.670
SBER;60;20/08/19;150000;217.2100000;218.3700000;216.7200000;218.0200000;2.275.970
SBER;60;20/08/19;160000;218.0200000;218.1900000;217.0600000;217.2400000;1.971.040
SBER;60;20/08/19;170000;217.2200000;217.2300000;215.5300000;216.1100000;6.104.520
SBER;60;20/08/19;180000;216.1100000;216.7800000;215.6200000;216.7800000;3.830.920
SBER;60;20/08/19;190000;216.7500000;217.2000000;216.0000000;216.0000000;4.987.330
SBER;60;21/08/19;110000;216.9600000;217.6000000;215.8000000;217.0800000;4.281.250
SBER;60;21/08/19;120000;217.1400000;218.2400000;216.7700000;217.7700000;3.630.380
SBER;60;21/08/19;130000;217.8000000;218.2000000;217.2800000;217.4800000;3.858.940
SBER;60;21/08/19;140000;217.4500000;217.5000000;216.8600000;217.1100000;1.958.260
SBER;60;21/08/19;150000;217.0300000;218.5000000;216.6000000;218.4500000;5.713.670
SBER;60;21/08/19;160000;218.4200000;218.8500000;218.1200000;218.3700000;8.341.970
SBER;60;21/08/19;170000;218.3500000;219.5000000;218.2700000;218.4600000;6.306.830
SBER;60;21/08/19;180000;218.5000000;219.0800000;218.4200000;218.8200000;3.974.880
SBER;60;21/08/19;190000;218.7800000;218.9700000;218.6000000;218.6200000;4.832.120
SBER;60;22/08/19;110000;218.2500000;219.9600000;217.8100000;219.7300000;8.047.150
SBER;60;22/08/19;120000;219.7300000;219.8500000;218.6100000;218.8400000;4.200.710
SBER;60;22/08/19;130000;218.8100000;219.1000000;217.3500000;217.8400000;7.626.530
SBER;60;22/08/19;140000;217.9500000;218.4000000;217.8000000;218.3500000;1.392.280
SBER;60;22/08/19;150000;218.3500000;219.2500000;218.3200000;218.8600000;2.878.810
SBER;60;22/08/19;160000;218.8400000;219.4700000;218.8100000;219.1800000;2.050.290
SBER;60;22/08/19;170000;219.1500000;220.4000000;218.8800000;219.6400000;6.397.700
SBER;60;22/08/19;180000;219.6400000;219.7000000;218.7500000;219.2300000;6.775.340
SBER;60;22/08/19;190000;219.3000000;220.1000000;219.1800000;219.5000000;6.301.640
SBER;60;23/08/19;110000;220.2100000;220.4500000;219.1100000;219.4000000;5.191.130
SBER;60;23/08/19;120000;219.4000000;219.5800000;218.7200000;218.9200000;2.101.590
SBER;60;23/08/19;130000;218.9000000;219.3900000;218.7300000;219.1100000;1.054.670
SBER;60;23/08/19;140000;219.1500000;219.4300000;219.0000000;219.3900000;560.120
SBER;60;23/08/19;150000;219.4000000;219.8500000;219.3100000;219.5100000;1.901.470
SBER;60;23/08/19;160000;219.5200000;219.6000000;217.8600000;218.7500000;10.305.830
SBER;60;23/08/19;170000;218.7600000;219.8300000;218.7000000;219.5000000;4.015.950
SBER;60;23/08/19;180000;219.5000000;223.1000000;219.4400000;221.7900000;17.996.380
SBER;60;23/08/19;190000;221.7900000;222.0000000;219.5000000;219.5000000;11.612.780
SBER;60;26/08/19;110000;217.5400000;218.7700000;216.5300000;218.5500000;11.566.260
SBER;60;26/08/19;120000;218.5200000;219.3000000;218.1100000;219.2400000;3.755.040
SBER;60;26/08/19;130000;219.1900000;219.4000000;218.2900000;218.3400000;3.405.780
SBER;60;26/08/19;140000;218.3600000;218.7900000;218.0100000;218.4900000;2.766.480
SBER;60;26/08/19;150000;218.5000000;219.0000000;218.4100000;218.6200000;1.432.670
SBER;60;26/08/19;160000;218.5900000;219.3400000;218.3200000;219.0700000;2.269.130
SBER;60;26/08/19;170000;219.0600000;219.6400000;218.6100000;218.7600000;3.058.050
SBER;60;26/08/19;180000;218.7500000;218.7700000;217.6500000;218.0000000;4.115.450
SBER;60;26/08/19;190000;217.9900000;218.9800000;217.9500000;218.5000000;2.627.000
SBER;60;27/08/19;110000;218.8800000;219.0500000;217.6000000;217.9200000;3.818.360
SBER;60;27/08/19;120000;218.0000000;218.3200000;217.2300000;217.6200000;3.363.000
SBER;60;27/08/19;130000;217.6000000;218.0900000;217.3700000;217.8700000;1.929.160
SBER;60;27/08/19;140000;217.8600000;218.7500000;217.6600000;218.3800000;2.450.830
SBER;60;27/08/19;150000;218.3200000;218.7800000;218.2200000;218.2900000;1.554.550
SBER;60;27/08/19;160000;218.2900000;218.9100000;217.9000000;218.8000000;3.280.380
SBER;60;27/08/19;170000;218.8700000;218.9100000;217.5000000;217.7600000;4.642.690
SBER;60;27/08/19;180000;217.7000000;217.7600000;216.0500000;216.1000000;8.498.320
SBER;60;27/08/19;190000;216.0600000;217.8900000;215.6100000;217.8900000;21.786.540
SBER;60;28/08/19;110000;218.0800000;218.6000000;217.6500000;217.9900000;6.094.540
SBER;60;28/08/19;120000;218.0000000;218.7100000;217.9100000;218.1800000;3.553.670
SBER;60;28/08/19;130000;218.1500000;218.4000000;217.3500000;218.0600000;2.558.170
SBER;60;28/08/19;140000;218.0200000;218.3500000;217.7200000;218.2300000;1.198.190
SBER;60;28/08/19;150000;218.2000000;219.0800000;217.2300000;217.8500000;5.049.320
SBER;60;28/08/19;160000;217.9100000;218.1500000;217.1800000;218.0600000;2.400.550
SBER;60;28/08/19;170000;218.0600000;218.4000000;217.6000000;218.3700000;2.828.080
SBER;60;28/08/19;180000;218.3800000;218.7000000;217.8000000;218.5700000;2.972.950
SBER;60;28/08/19;190000;218.5700000;218.7000000;218.0600000;218.3000000;3.483.760
SBER;60;29/08/19;110000;218.4700000;219.8300000;218.0500000;219.5400000;5.814.610
SBER;60;29/08/19;120000;219.5300000;220.3100000;219.1300000;219.3000000;5.657.170
SBER;60;29/08/19;130000;219.3000000;221.4500000;219.2500000;220.8600000;7.283.200
SBER;60;29/08/19;140000;220.9000000;221.1200000;220.5000000;220.8500000;2.167.670
SBER;60;29/08/19;150000;220.7900000;221.1700000;220.5000000;220.7500000;1.674.430
SBER;60;29/08/19;160000;220.7500000;221.0000000;220.3100000;220.4500000;1.610.140
SBER;60;29/08/19;170000;220.4500000;220.7800000;219.8800000;220.4500000;2.896.610
SBER;60;29/08/19;180000;220.4300000;220.6700000;219.8500000;220.6700000;3.356.750
SBER;60;29/08/19;190000;220.6700000;221.5000000;220.4800000;221.5000000;5.425.880
SBER;60;30/08/19;110000;221.9100000;223.9200000;221.2100000;223.5800000;12.691.000
SBER;60;30/08/19;120000;223.5800000;224.2800000;223.2800000;223.9500000;7.668.180
SBER;60;30/08/19;130000;223.8700000;225.2000000;223.8300000;224.4100000;7.446.230
SBER;60;30/08/19;140000;224.4400000;224.7900000;224.0000000;224.2800000;2.772.040
SBER;60;30/08/19;150000;224.2800000;224.5500000;223.6800000;223.8200000;2.816.380
SBER;60;30/08/19;160000;223.8400000;224.8900000;223.8200000;224.7800000;2.685.440
SBER;60;30/08/19;170000;224.7400000;225.0000000;224.5000000;224.7900000;3.844.120
SBER;60;30/08/19;180000;224.7500000;224.7800000;223.1900000;223.8300000;8.932.540
SBER;60;30/08/19;190000;223.8200000;224.4500000;223.1500000;224.2000000;9.299.160
SBER;60;02/09/19;110000;224.0500000;225.5000000;223.4100000;224.5600000;6.851.540
SBER;60;02/09/19;120000;224.5700000;227.2000000;224.4400000;226.7700000;8.747.930
SBER;60;02/09/19;130000;226.8200000;227.5000000;226.2900000;226.9200000;4.468.230
SBER;60;02/09/19;140000;226.9500000;227.8400000;226.8900000;227.0600000;4.362.640
SBER;60;02/09/19;150000;227.1200000;227.2400000;226.6900000;226.9700000;1.964.150
SBER;60;02/09/19;160000;226.9800000;227.1500000;226.3100000;226.5400000;2.770.960
SBER;60;02/09/19;170000;226.5400000;226.8000000;225.9000000;226.3000000;2.647.290
SBER;60;02/09/19;180000;226.3000000;226.8900000;226.1400000;226.8200000;3.372.570
