<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;60;17/12/19;110000;0.0466150;0.0467850;0.0465400;0.0465450;2840690000
VTBR;60;17/12/19;120000;0.0465600;0.0467200;0.0465400;0.0466050;1908340000
VTBR;60;17/12/19;130000;0.0466200;0.0466450;0.0465300;0.0465750;1131230000
VTBR;60;17/12/19;140000;0.0465700;0.0466050;0.0465300;0.0465400;683760000
VTBR;60;17/12/19;150000;0.0465450;0.0466000;0.0465300;0.0465500;742360000
VTBR;60;17/12/19;160000;0.0465500;0.0466450;0.0465350;0.0466250;1108450000
VTBR;60;17/12/19;170000;0.0466150;0.0466700;0.0465700;0.0466200;1124040000
VTBR;60;17/12/19;180000;0.0466250;0.0466400;0.0465300;0.0465450;1534050000
VTBR;60;17/12/19;190000;0.0465350;0.0465650;0.0464200;0.0465500;3573840000
VTBR;60;18/12/19;110000;0.0465400;0.0465600;0.0461900;0.0462400;3848380000
VTBR;60;18/12/19;120000;0.0462650;0.0464200;0.0462100;0.0463950;1679830000
VTBR;60;18/12/19;130000;0.0463950;0.0465200;0.0463300;0.0464800;1215680000
VTBR;60;18/12/19;140000;0.0464850;0.0466350;0.0464550;0.0466200;1434410000
VTBR;60;18/12/19;150000;0.0466250;0.0466800;0.0465100;0.0465800;2071370000
VTBR;60;18/12/19;160000;0.0466050;0.0466700;0.0465800;0.0466400;607450000
VTBR;60;18/12/19;170000;0.0466450;0.0467900;0.0465300;0.0467300;3049700000
VTBR;60;18/12/19;180000;0.0467450;0.0470000;0.0467350;0.0469500;6343040000
VTBR;60;18/12/19;190000;0.0469500;0.0469500;0.0468250;0.0469200;1778580000
VTBR;60;19/12/19;110000;0.0468500;0.0472150;0.0467250;0.0470850;5463950000
VTBR;60;19/12/19;120000;0.0470650;0.0472000;0.0469300;0.0471900;4595090000
VTBR;60;19/12/19;130000;0.0471900;0.0471950;0.0470350;0.0470450;1820180000
VTBR;60;19/12/19;140000;0.0470750;0.0470750;0.0468150;0.0469000;2779870000
VTBR;60;19/12/19;150000;0.0469000;0.0471600;0.0460000;0.0466300;6811350000
VTBR;60;19/12/19;160000;0.0466300;0.0469850;0.0466200;0.0468950;4788420000
VTBR;60;19/12/19;170000;0.0468950;0.0468950;0.0463300;0.0465550;2864920000
VTBR;60;19/12/19;180000;0.0465750;0.0466200;0.0463000;0.0465850;2948330000
VTBR;60;19/12/19;190000;0.0466000;0.0466000;0.0463400;0.0465150;2739420000
VTBR;60;20/12/19;110000;0.0466100;0.0466900;0.0464700;0.0465800;1571380000
VTBR;60;20/12/19;120000;0.0465800;0.0466000;0.0464550;0.0465250;1040290000
VTBR;60;20/12/19;130000;0.0465100;0.0466950;0.0464800;0.0466150;782220000
VTBR;60;20/12/19;140000;0.0466050;0.0466150;0.0465050;0.0465600;657270000
VTBR;60;20/12/19;150000;0.0465700;0.0465700;0.0463100;0.0463500;1478050000
VTBR;60;20/12/19;160000;0.0463500;0.0464800;0.0463000;0.0463650;799630000
VTBR;60;20/12/19;170000;0.0463650;0.0463900;0.0461100;0.0463650;2173560000
VTBR;60;20/12/19;180000;0.0463800;0.0465400;0.0463400;0.0463600;1443150000
VTBR;60;20/12/19;190000;0.0463600;0.0463850;0.0461200;0.0463000;7276700000
VTBR;60;23/12/19;110000;0.0463450;0.0466550;0.0463100;0.0465300;2664250000
VTBR;60;23/12/19;120000;0.0465300;0.0465950;0.0463800;0.0464500;1297690000
VTBR;60;23/12/19;130000;0.0464500;0.0464550;0.0463600;0.0464200;766880000
VTBR;60;23/12/19;140000;0.0464200;0.0465500;0.0464000;0.0465050;982920000
VTBR;60;23/12/19;150000;0.0465250;0.0465500;0.0464000;0.0464300;830930000
VTBR;60;23/12/19;160000;0.0464400;0.0465000;0.0464000;0.0464100;1902750000
VTBR;60;23/12/19;170000;0.0464050;0.0464950;0.0464000;0.0464600;422100000
VTBR;60;23/12/19;180000;0.0464500;0.0464850;0.0464150;0.0464400;719790000
VTBR;60;23/12/19;190000;0.0464400;0.0465050;0.0464100;0.0465050;2181510000
VTBR;60;24/12/19;110000;0.0465800;0.0467050;0.0465400;0.0466000;1718400000
VTBR;60;24/12/19;120000;0.0465900;0.0466100;0.0464350;0.0465500;1311370000
VTBR;60;24/12/19;130000;0.0465500;0.0465650;0.0464500;0.0464950;1028430000
VTBR;60;24/12/19;140000;0.0464750;0.0465650;0.0464600;0.0465500;615290000
VTBR;60;24/12/19;150000;0.0465500;0.0465650;0.0465000;0.0465300;548780000
VTBR;60;24/12/19;160000;0.0465300;0.0465500;0.0464200;0.0465050;1022150000
VTBR;60;24/12/19;170000;0.0464850;0.0465250;0.0464000;0.0464050;1095040000
VTBR;60;24/12/19;180000;0.0464050;0.0464450;0.0463000;0.0463650;1499450000
VTBR;60;24/12/19;190000;0.0463650;0.0464100;0.0463300;0.0463500;724320000
VTBR;60;25/12/19;110000;0.0464000;0.0464850;0.0463000;0.0463250;877490000
VTBR;60;25/12/19;120000;0.0463400;0.0464150;0.0462050;0.0462800;1012500000
VTBR;60;25/12/19;130000;0.0462750;0.0462950;0.0460700;0.0462100;1797680000
VTBR;60;25/12/19;140000;0.0462200;0.0462950;0.0461800;0.0462300;971360000
VTBR;60;25/12/19;150000;0.0462300;0.0462300;0.0461600;0.0461850;579140000
VTBR;60;25/12/19;160000;0.0461850;0.0462200;0.0461400;0.0461400;1065960000
VTBR;60;25/12/19;170000;0.0461400;0.0462000;0.0460900;0.0461650;554990000
VTBR;60;25/12/19;180000;0.0461800;0.0461900;0.0460550;0.0460600;1487540000
VTBR;60;25/12/19;190000;0.0460600;0.0461350;0.0459300;0.0459800;4067360000
VTBR;60;26/12/19;110000;0.0459950;0.0461600;0.0459850;0.0461550;1534580000
VTBR;60;26/12/19;120000;0.0461550;0.0461550;0.0460300;0.0461250;938460000
VTBR;60;26/12/19;130000;0.0461300;0.0461350;0.0460650;0.0460750;454330000
VTBR;60;26/12/19;140000;0.0460750;0.0461000;0.0460350;0.0460850;646690000
VTBR;60;26/12/19;150000;0.0460850;0.0460850;0.0459700;0.0459950;1159210000
VTBR;60;26/12/19;160000;0.0459900;0.0460300;0.0459500;0.0460150;1489150000
VTBR;60;26/12/19;170000;0.0460100;0.0460100;0.0458700;0.0459900;1443980000
VTBR;60;26/12/19;180000;0.0459850;0.0460850;0.0459750;0.0460550;1438900000
VTBR;60;26/12/19;190000;0.0460600;0.0460600;0.0459250;0.0460000;989010000
VTBR;60;27/12/19;110000;0.0460950;0.0461700;0.0460250;0.0460950;1900210000
VTBR;60;27/12/19;120000;0.0460800;0.0461000;0.0459800;0.0460400;1439290000
VTBR;60;27/12/19;130000;0.0460400;0.0460500;0.0459100;0.0459700;1195610000
VTBR;60;27/12/19;140000;0.0459700;0.0460000;0.0459600;0.0459950;459410000
VTBR;60;27/12/19;150000;0.0459950;0.0460050;0.0459250;0.0459800;577790000
VTBR;60;27/12/19;160000;0.0459800;0.0460000;0.0458050;0.0458200;2159070000
VTBR;60;27/12/19;170000;0.0458050;0.0460600;0.0457550;0.0459450;3271350000
VTBR;60;27/12/19;180000;0.0459450;0.0459700;0.0458600;0.0459050;1279190000
VTBR;60;27/12/19;190000;0.0459050;0.0460400;0.0458800;0.0458800;3166540000
VTBR;60;30/12/19;110000;0.0459600;0.0461900;0.0459600;0.0460800;3097230000
VTBR;60;30/12/19;120000;0.0461000;0.0461000;0.0460250;0.0460800;889050000
VTBR;60;30/12/19;130000;0.0460700;0.0461100;0.0460550;0.0460950;660170000
VTBR;60;30/12/19;140000;0.0461000;0.0461100;0.0460450;0.0460900;853360000
VTBR;60;30/12/19;150000;0.0460950;0.0460950;0.0459750;0.0460500;1085520000
VTBR;60;30/12/19;160000;0.0460500;0.0460700;0.0460000;0.0460400;456430000
VTBR;60;30/12/19;170000;0.0460400;0.0460800;0.0460000;0.0460250;891930000
VTBR;60;30/12/19;180000;0.0460250;0.0460500;0.0459000;0.0459600;1161070000
VTBR;60;30/12/19;190000;0.0459400;0.0460200;0.0458650;0.0459000;2738520000
VTBR;60;03/01/20;110000;0.0461050;0.0461800;0.0459950;0.0461250;2052510000
VTBR;60;03/01/20;120000;0.0461250;0.0463400;0.0461150;0.0462850;2324760000
VTBR;60;03/01/20;130000;0.0462850;0.0462950;0.0461150;0.0461900;1081580000
VTBR;60;03/01/20;140000;0.0461900;0.0462350;0.0461150;0.0461400;1016450000
VTBR;60;03/01/20;150000;0.0461400;0.0461450;0.0460050;0.0460500;1400680000
VTBR;60;03/01/20;160000;0.0460650;0.0461100;0.0460100;0.0460900;569340000
VTBR;60;03/01/20;170000;0.0460800;0.0461200;0.0460050;0.0460300;670670000
VTBR;60;03/01/20;180000;0.0460300;0.0461400;0.0460050;0.0461350;888590000
VTBR;60;03/01/20;190000;0.0461300;0.0462400;0.0460800;0.0462400;1877760000
VTBR;60;06/01/20;110000;0.0461100;0.0461950;0.0459350;0.0459850;1736410000
VTBR;60;06/01/20;120000;0.0459850;0.0461000;0.0459500;0.0459700;1045700000
VTBR;60;06/01/20;130000;0.0459550;0.0460700;0.0459300;0.0459750;1042580000
VTBR;60;06/01/20;140000;0.0459700;0.0460000;0.0459550;0.0459950;480130000
VTBR;60;06/01/20;150000;0.0459900;0.0460000;0.0459350;0.0459800;537440000
VTBR;60;06/01/20;160000;0.0459950;0.0460000;0.0459700;0.0459850;365440000
VTBR;60;06/01/20;170000;0.0459700;0.0460000;0.0459600;0.0460000;422920000
VTBR;60;06/01/20;180000;0.0460000;0.0460000;0.0459750;0.0459950;406850000
VTBR;60;06/01/20;190000;0.0459950;0.0461100;0.0459500;0.0461100;1938490000
VTBR;60;08/01/20;110000;0.0462100;0.0470000;0.0462000;0.0467350;11202280000
VTBR;60;08/01/20;120000;0.0467500;0.0469800;0.0465850;0.0466750;2925020000
VTBR;60;08/01/20;130000;0.0466700;0.0468500;0.0466350;0.0468150;2069890000
VTBR;60;08/01/20;140000;0.0468200;0.0469500;0.0467300;0.0467800;2302910000
VTBR;60;08/01/20;150000;0.0467850;0.0468600;0.0467200;0.0467200;1174580000
VTBR;60;08/01/20;160000;0.0467250;0.0467750;0.0467050;0.0467350;685320000
VTBR;60;08/01/20;170000;0.0467450;0.0469500;0.0467250;0.0468950;2538600000
VTBR;60;08/01/20;180000;0.0468850;0.0469950;0.0468200;0.0469000;2090360000
VTBR;60;08/01/20;190000;0.0469000;0.0469750;0.0465250;0.0465250;3648380000
VTBR;60;09/01/20;110000;0.0468200;0.0471800;0.0465750;0.0469600;9252600000
VTBR;60;09/01/20;120000;0.0469750;0.0469750;0.0467350;0.0468200;2099590000
VTBR;60;09/01/20;130000;0.0468400;0.0468850;0.0467000;0.0468300;1471100000
VTBR;60;09/01/20;140000;0.0468300;0.0469700;0.0468050;0.0469450;1085140000
VTBR;60;09/01/20;150000;0.0469450;0.0471300;0.0469000;0.0471250;2676920000
VTBR;60;09/01/20;160000;0.0471300;0.0473000;0.0469800;0.0472300;4585050000
VTBR;60;09/01/20;170000;0.0472250;0.0473000;0.0471500;0.0472250;2000420000
VTBR;60;09/01/20;180000;0.0472250;0.0472400;0.0470050;0.0470200;2275480000
VTBR;60;09/01/20;190000;0.0470100;0.0470800;0.0469200;0.0470750;4019780000
VTBR;60;10/01/20;110000;0.0471200;0.0474900;0.0470050;0.0474450;5942850000
VTBR;60;10/01/20;120000;0.0474250;0.0478900;0.0472500;0.0478450;10557720000
VTBR;60;10/01/20;130000;0.0478350;0.0478500;0.0475600;0.0476100;2528430000
VTBR;60;10/01/20;140000;0.0476100;0.0477000;0.0474450;0.0475050;2381370000
VTBR;60;10/01/20;150000;0.0475250;0.0478000;0.0475050;0.0477500;1506440000
VTBR;60;10/01/20;160000;0.0477600;0.0478000;0.0476400;0.0476400;1355140000
VTBR;60;10/01/20;170000;0.0476400;0.0477050;0.0475050;0.0476800;2009510000
VTBR;60;10/01/20;180000;0.0476650;0.0476750;0.0475500;0.0475700;902370000
VTBR;60;10/01/20;190000;0.0475700;0.0476500;0.0475050;0.0476000;2687770000
