<TICKER>;<CLOSE>
RTSI;1646.6
RTSI;1630.14
RTSI;1630.35
RTSI;1632
RTSI;1630.68
RTSI;1631.35
RTSI;1629.49
RTSI;1626.67
RTSI;1626.33
RTSI;1625.41
RTSI;1626.34
RTSI;1626.94
RTSI;1629.08
RTSI;1627.26
RTSI;1626.65
RTSI;1624.9
RTSI;1625.15
RTSI;1626.46
RTSI;1626.57
RTSI;1625.57
RTSI;1627.33
RTSI;1627.68
RTSI;1628.77
RTSI;1628.74
RTSI;1630.01
RTSI;1628.55
RTSI;1630.86
RTSI;1631.06
RTSI;1631.21
RTSI;1630.62
RTSI;1631.1
RTSI;1630.92
RTSI;1630.52
RTSI;1628.9
RTSI;1629.19
RTSI;1629.18
RTSI;1629.13
RTSI;1629.95
RTSI;1630.52
RTSI;1630.52
RTSI;1629.36
RTSI;1631.62
RTSI;1631.38
RTSI;1631.08
RTSI;1629.88
RTSI;1627.81
RTSI;1627.19
RTSI;1626.96
RTSI;1626.98
RTSI;1627.02
RTSI;1626.02
RTSI;1624.96
RTSI;1625.97
RTSI;1627.61
RTSI;1628.17
RTSI;1627.72
RTSI;1628.1
RTSI;1628.14
RTSI;1628.24
RTSI;1629.09
RTSI;1628.74
RTSI;1628.82
RTSI;1628.8
RTSI;1629.69
RTSI;1628.71
RTSI;1628.41
RTSI;1629.2
RTSI;1630.31
RTSI;1629.87
RTSI;1628.86
RTSI;1628.46
RTSI;1627.63
RTSI;1626.03
RTSI;1624.76
RTSI;1626.11
RTSI;1627.11
RTSI;1626.67
RTSI;1626.7
RTSI;1627.65
RTSI;1628.54
RTSI;1628
RTSI;1626.66
RTSI;1625.61
RTSI;1626.01
RTSI;1625.65
RTSI;1628.05
RTSI;1629.07
RTSI;1627.64
RTSI;1627.96
RTSI;1628.06
RTSI;1629.13
RTSI;1629.18
RTSI;1630.47
RTSI;1630.83
RTSI;1631.72
RTSI;1632.68
RTSI;1633.6
RTSI;1636.03
RTSI;1634.94
RTSI;1633.29
RTSI;1631.54
RTSI;1632.59
RTSI;1633.07
RTSI;1633.3
RTSI;1633.53
RTSI;1633.53
RTSI;1634.32
RTSI;1634.32
RTSI;1641.98
RTSI;1641.47
RTSI;1638.64
RTSI;1640.13
RTSI;1637.14
RTSI;1637.7
RTSI;1637.53
RTSI;1636.37
RTSI;1635.77
RTSI;1636.39
RTSI;1635.83
RTSI;1635.08
RTSI;1636.59
RTSI;1635.5
RTSI;1635.8
RTSI;1634.35
RTSI;1634.25
RTSI;1633.93
RTSI;1633.07
RTSI;1633.41
RTSI;1633.14
RTSI;1631.89
RTSI;1631.36
RTSI;1630.41
RTSI;1629.89
RTSI;1631.44
RTSI;1631.41
RTSI;1627.45
RTSI;1628.9
RTSI;1627.02
RTSI;1627.07
RTSI;1626.43
RTSI;1626.3
RTSI;1626.8
RTSI;1628.68
RTSI;1629.52
RTSI;1628.85
RTSI;1628.78
RTSI;1629.89
RTSI;1628.41
RTSI;1628.52
RTSI;1628.42
RTSI;1628.08
RTSI;1627.37
RTSI;1625.41
RTSI;1626.07
RTSI;1626.76
RTSI;1626.61
RTSI;1626.71
RTSI;1624.62
RTSI;1625.73
RTSI;1624.33
RTSI;1622.64
RTSI;1622.06
RTSI;1620.62
RTSI;1620.73
RTSI;1620.86
RTSI;1620.09
RTSI;1618.31
RTSI;1616.91
RTSI;1617.67
RTSI;1617.78
RTSI;1619.61
RTSI;1620.32
RTSI;1619.65
RTSI;1618.96
RTSI;1620.89
RTSI;1621.47
RTSI;1621.15
RTSI;1621.44
RTSI;1621.27
RTSI;1619.63
RTSI;1618.02
RTSI;1619.24
RTSI;1619.28
RTSI;1619.77
RTSI;1618.65
RTSI;1618.76
RTSI;1618.22
RTSI;1617.73
RTSI;1617.73
RTSI;1618.24
RTSI;1617.85
RTSI;1618.56
RTSI;1618.95
RTSI;1619.8
RTSI;1620.59
RTSI;1620.43
RTSI;1619.9
RTSI;1620.17
RTSI;1619.71
RTSI;1620.46
RTSI;1620.45
RTSI;1618.73
RTSI;1618.05
RTSI;1618.94
RTSI;1617.57
RTSI;1617.11
RTSI;1615.65
RTSI;1615.78
RTSI;1615.57
RTSI;1615.28
RTSI;1615.3
RTSI;1615.74
RTSI;1615.74
RTSI;1612.87
RTSI;1612.87
RTSI;1603.08
RTSI;1602.53
RTSI;1604.32
RTSI;1605.43
RTSI;1605.69
RTSI;1606.74
RTSI;1607.83
RTSI;1605.91
RTSI;1605
RTSI;1605.65
RTSI;1604.41
RTSI;1604.52
RTSI;1604.97
RTSI;1603.23
RTSI;1602.77
RTSI;1604.21
RTSI;1605.23
RTSI;1605.23
RTSI;1607.9
RTSI;1607.85
RTSI;1607.41
RTSI;1607.61
RTSI;1607.01
RTSI;1609.31
RTSI;1608.92
RTSI;1609.03
RTSI;1610.5
RTSI;1611.35
RTSI;1610.52
RTSI;1609.81
RTSI;1609.34
RTSI;1610.08
RTSI;1608.98
RTSI;1609.43
RTSI;1610.13
RTSI;1608.79
RTSI;1609.32
RTSI;1609.3
RTSI;1608.7
RTSI;1609.03
RTSI;1610
RTSI;1608.89
RTSI;1608.85
RTSI;1608.52
RTSI;1609.02
RTSI;1609.42
RTSI;1609.19
RTSI;1609.03
RTSI;1607.46
RTSI;1609.67
RTSI;1609.96
RTSI;1609.16
RTSI;1609.66
RTSI;1609.71
RTSI;1611.54
RTSI;1611.74
RTSI;1611.95
RTSI;1612.79
RTSI;1612.54
RTSI;1611.9
RTSI;1613.32
RTSI;1613.04
RTSI;1613.5
RTSI;1613.1
RTSI;1613.9
RTSI;1614.33
RTSI;1613.07
RTSI;1612.69
RTSI;1610.99
RTSI;1611.28
RTSI;1611.24
RTSI;1611.46
RTSI;1610.43
RTSI;1610.39
RTSI;1609.79
RTSI;1609.98
RTSI;1610.47
